clade_name,A23,A24,A25,A26,A27,A28,A29,A30,A31
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658|f__FGB658|g__GGB1627|s__GGB1627_SGB2230|t__SGB2230,1.78561,2.31732,0.41857,2.20707,0.45953,0.0137,0,0,0.57007
k__Bacteria|p__Firmicutes|c__CFGB1778|o__OFGB1778|f__FGB1778|g__GGB4712|s__GGB4712_SGB6525|t__SGB6525,0,0,7.53336,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__CFGB635|o__OFGB635|f__FGB635|g__GGB1497|s__GGB1497_SGB2076|t__SGB2076,6.76068,0.00618,0.12965,0.0107,0.04191,0,0,0,0.26575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis|t__SGB4925,0,0,0,0.21796,5.40517,1.42898,0,0.01327,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1270|s__GGB1270_SGB1705|t__SGB1705,0.04986,0.90891,0.04287,1.30451,0.70751,1.46747,0.71409,1.38736,0.11619
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Floccifex|s__Floccifex_porci|t__SGB77360,0.03613,0.01135,0.66521,5.25301,0.05262,0.00302,0.20077,0.11391,0.30207
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Turicibacteraceae|g__Turicibacter|s__Turicibacter_bilis|t__SGB6847,0.0091,0.00869,0.4305,0.03573,0.00836,0.31899,1.29624,0.19496,4.2213
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_B|t__SGB1613,0,0,0,0.29571,4.65731,1.31226,0.02607,0.01886,0.02401
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_C|t__SGB1644,0,0.03509,0.27943,0.6484,2.20569,1.54111,1.27262,0.13562,0.11363
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii|t__SGB5862,0,0,0.15537,3.03132,0.3279,0.83966,0,1.63212,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9642|s__GGB9642_SGB15119|t__SGB15119,1.46532,0.89137,1.33555,1.05925,0.26376,0.40122,0.19845,0.36039,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_johnsonii|t__SGB7041,0.20552,0.00449,0.00431,0.324,1.11106,4.00477,0.21016,0.00305,0.1068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__GGB9747|s__GGB9747_SGB15355|t__SGB15355,1.10881,4.60894,0.00941,0.00701,0.18166,0.02674,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1239|s__GGB1239_SGB1657|t__SGB1657,0,0,0,0.31312,3.36094,2.10392,0,0.00541,0
k__Bacteria|p__Bacteroidetes|c__CFGB654|o__OFGB654|f__FGB654|g__GGB74216|s__GGB74216_SGB48136|t__SGB48136,0,0,0,0.32281,0,0.00123,2.21461,0.9327,2.00366
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus_reuteri|t__SGB7095,0.02171,0.03366,0,0.45558,2.71651,1.44201,0.32258,0.39258,0.03227
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_AF13_28|t__SGB4834,0,0.01787,0,4.34104,0.22929,0.29617,0.05451,0.08088,0.38809
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_Choco116|t__SGB15149,0.33152,3.0143,0.22794,1.36902,0.03946,0.17269,0.04174,0,0
k__Bacteria|p__Spirochaetes|c__CFGB4774|o__OFGB4774|f__FGB4774|g__GGB13832|s__GGB13832_SGB21213|t__SGB21213,0.09222,0.01053,0.27176,1.63223,0.04648,0.28245,1.22644,0.07351,1.44797
k__Bacteria|p__Bacteroidetes|c__CFGB4385|o__OFGB4385|f__FGB4385|g__GGB32782|s__GGB32782_SGB48200|t__SGB48200,0.00471,0.00527,0.01019,0.45845,2.35521,2.20669,0,0.00135,0.01252
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_Family_XIII_Incertae_Sedis|g__Mogibacterium|s__Mogibacterium_kristiansenii|t__SGB3926_group,0.6524,0.88017,1.02345,0.13048,0.29376,0.26866,0.6037,0.31149,0.77141
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales|f__Puniceicoccaceae|g__Puniceicoccaceae_unclassified|s__Puniceicoccaceae_unclassified_SGB15388|t__SGB15388,0.11192,3.44382,1.34039,0.0239,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__GGB1247|s__GGB1247_SGB1668|t__SGB1668,0,0,0,0.14039,2.74444,1.03635,0.2812,0.11656,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri_clade_A|t__SGB1626,0,0,0,0.28869,2.30824,1.40914,0.28387,0.01823,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_AF36_4|t__SGB4644,0.02512,0,0,3.25524,0,0.96826,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola|s__Phocaeicola_vulgatus|t__SGB1814,1.73698,2.39774,0.03215,0,0.00147,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__GGB4979|s__GGB4979_SGB6973|t__SGB6973,0,0.04193,0.00442,0.66076,1.00321,1.18217,0.51973,0.16292,0.57585
k__Bacteria|p__Firmicutes|c__CFGB34287|o__OFGB34287|f__FGB34287|g__GGB34287|s__GGB34287_SGB47535|t__SGB47535,0.00414,0,0,1.77338,0,0,2.35632,0,0
k__Bacteria|p__Bacteroidetes|c__CFGB13291|o__OFGB13291|f__FGB13291|g__GGB37001|s__GGB37001_SGB48158|t__SGB48158,0.06195,0.09096,0.00866,0.00896,0.01705,0.0666,3.61131,0.08152,0.1768
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658|f__FGB658|g__GGB35027|s__GGB35027_SGB48128|t__SGB48128,0.18395,0.00651,0.17926,0.93127,0.09226,0.29312,1.14668,0.23934,0.95419
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified|g__Eubacteriales_unclassified|s__Clostridiales_bacterium_KLE1615|t__SGB5090,0,0.16613,0,0,0.34382,0.4663,1.70202,0.33344,0.96095
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4583|s__GGB4583_SGB2237|t__SGB2237,0.19708,0.01373,0.24833,0.32504,0.62172,0.5038,2.00537,0.02281,0
k__Bacteria|p__Firmicutes|c__CFGB10314|o__OFGB10314|f__FGB10314|g__GGB4701|s__GGB4701_SGB6508|t__SGB6508,0,0,0,0,0,0,1.44304,0.02996,2.4218
k__Bacteria|p__Bacteroidetes|c__CFGB658|o__OFGB658|f__FGB658|g__GGB1627|s__GGB1627_SGB2227|t__SGB2227,3.33682,0.15143,0.28664,0.02581,0.00409,0.01061,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_SGB9260|t__SGB9260,0,0,0,0,0,0,0,3.81355,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Anaerovibrio|s__Anaerovibrio_slackiae|t__SGB53384,0,0,0,0.07366,0.45272,0.18824,0.46742,0.75501,1.77794
k__Bacteria|p__Firmicutes|c__CFGB1778|o__OFGB1778|f__FGB1778|g__GGB4714|s__GGB4714_SGB6528|t__SGB6528,0,0,0,0,0,0,0.04638,0.08107,3.49808
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_P3_122|t__SGB1710,0,0,0.00152,0.31472,0.01147,0.2335,0.97958,1.69648,0.2938
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_coprostanoligenes|t__SGB4330,1.23266,0,1.31897,0,0.21275,0.24238,0,0.32514,0.16388
